Student_ID,Full_Name,Date_of_Birth,Grade_Level,Emergency_Contact,
S00001,Sudip Bandyopadhyay,08-04-2005,Btech-cse,781-534-4258x9046,6297421892
S00002,Gaurav Kumar,01-01-2005,Btech-cse,+1-782-691-6291x99704,6204608428
S00003,Sudip Poddar,07-02-2017,Grade 3,308.517.3750,
S00004,Anthony Martin,11-10-2014,Grade 5,306-771-1524x116,
S00005,Mary Stone,04-01-2016,Grade 3,+1-794-484-8495x7772,
S00006,Joe Wells,29-06-2017,Grade 2,+1-933-864-5644x501,
S00007,Margaret Nixon,04-12-2009,Grade 4,706.708.0421x412,
S00008,James Wheeler,25-01-2011,Grade 1,(605)818-0057x877,
S00009,Benjamin Cook,04-10-2007,Grade 4,(489)503-7511x611,
S00010,Aaron Callahan,18-02-2012,Grade 4,,
S00011,christopher church,23-02-2008,Grade 1,,
S00012,Jonathan Solis,07-07-2016,Grade 1,+1-534-253-4789x8656,
S00013,Robert Sanders,30-04-2008,Grade 2,+1-637-642-1016x7779,
S00014,Melanie Gilmore,19-08-2006,Grade 4,001-569-842-8327x8506,
S00015,Alexandria Wallace,21-06-2006,Grade 2,+1-283-259-6520x7061,
S00016,Ann Wilkerson,02-09-2007,Grade 3,+1-735-270-0046x90671,
S00017,Kelly Delgado,28-06-2015,Grade 2,001-993-871-2154x45650,
S00018,Michael Baker,21-07-2008,Grade 1,+1-266-564-5904x54580,
S00019,Jennifer Adams,03-01-2015,Grade 4,001-209-613-8159,
S00020,Elizabeth Lopez,21-04-2016,Grade 3,001-436-781-9737x4414,
S00021,Patricia Atkins,07-01-2019,Grade 5,(908)400-6429x947,
S00022,Justin Wright,25-06-2010,Grade 2,975-914-9462x2990,
S00023,Justin Sandoval,05-22-2016,Grade 1,898-679-5228,
S00024,Kimberly Massey,05-05-2008,Grade 3,-10356,
S00025,Theresa Marsh,18-04-2009,Grade 2,676-696-6482,
S00026,Todd Noble,03-05-2006,Grade 3,(730)399-1378,
S00027,Jonathan Cline,13-03-2009,Grade 3,903.336.7816,
S00028,Diana Fitzpatrick,12-09-2008,Grade 5,468-329-0737,
S00029,brandi winters,14-01-2007,Grade 3,001-223-628-6249,
S00030,Vincent Harrison,26-01-2013,Grade 3,-9872,
S00031,Michael May,13-01-2009,Grade 4,+1-375-642-0607x9672,
S00032,Katherine Chang,03-09-2010,Grade 4,+1-435-617-1689x00179,
S00033,Kenneth Levine,15-01-2019,Grade 1,(529)506-0532,
S00034,Melissa Cohen,20-08-2016,Grade 1,(955)737-4295,
S00035,Pamela Lambert,06-11-2010,Grade 2,5913609003,
S00036,James Stewart,03-10-2010,Grade 3,462.769.5212x47777,
S00037,Rebecca Barr,24-04-2007,Grade 1,001-819-332-6636x418,
S00038,Brandi Carroll,04-09-2018,Grade 1,(939)450-3967x848,
S00039,Jordan Jenkins,16-12-2018,Grade 1,(393)709-1081,
S00040,Frank Douglas,22-08-2017,Grade 5,(561)402-3053,
S00041,Robert Walters,28-03-2017,Grade 1,001-574-742-1671x902,
